Name,Quantity,Price,Source
PCBA,1,$75.89,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006
Ov5640,1,$10.24,https://www.aliexpress.com/item/1005003006706291.html?spm=a2g0o.order_list.order_list_main.30.66d01802KQ5cHh
3.7V Lipo Battery 500mAh,1,$5.75,https://www.aliexpress.com/item/1005008218024646.html?spm=a2g0o.order_list.order_list_main.20.66d01802KQ5cHh
Tactile buttons,1,$1.25,https://www.aliexpress.com/item/1005006880995108.html?spm=a2g0o.order_list.order_list_main.20.15821802o8oPo7
Slide switch,1,$0.52,https://www.aliexpress.com/item/4000699324084.html?spm=a2g0o.productlist.similar_items.2.231632a6B8EdN5&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg%7Cx_object_id%3A4000699324084%7C_p_origin_prod%3A&algo_pvid=99595b86-6395-44b4-b291-2e68e0723b18&algo_exp_id=99595b86-6395-44b4-b291-2e68e0723b18&pdp_ext_f=%7B%22order%22%3A%222103%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.52%210.52%21%21%210.52%210.52%21%40212a70c117757236066772521eed17%2110000006189670627%21sea%21MY%216472883746%21X%211%210%21n_tag%3A-29912%3Bd%3A8eff3961%3Bm03_new_user%3A-29895#nav-specification
PH connector,1,$1.89,https://www.aliexpress.com/item/1005007425641197.html?spm=a2g0o.order_list.order_list_main.45.15821802o8oPo7
micro SD card,1,$12.00,https://www.aliexpress.com/item/1005010070877459.html?spm=a2g0o.order_list.order_list_main.30.15821802o8oPo7
2.4 inch tft display,1,$3.43,https://www.aliexpress.com/item/1005006109679854.html?spm=a2g0o.order_list.order_list_main.35.15821802o8oPo7
M3 14mm Screws,1,$1.26,https://www.aliexpress.com/item/1005007264845313.html?spm=a2g0o.order_list.order_list_main.40.15821802o8oPo7
M3 OD4.2 L 4 Heatset inserts,1,$1.05,https://www.aliexpress.com/item/1005007659182107.html?spm=a2g0o.order_list.order_list_main.25.15821802o8oPo7
Total,,$113.28,